audiocap_id,youtube_id,start_time,caption
64136,YNfOY2fMxY4,30,A baby cries and a woman speaks
91084,r-I2WIwtzwU,10,A baby cries and a woman speaks
73234,dpVX9d49udw,160,A baby cries and a woman speaks followed by whistling
27583,B85cvlvtVeM,0,A baby cries and a woman speaks then the baby laughs
100524,yE7yw5zgBFw,0,A baby cries and a woman talks
4318,0i0h5nK2D_U,340,A baby cries and a woman talks followed by a woman laughing
7936,2BYz4JW2eVs,19,A baby cries and a woman talks to it
100337,y5ZZ2nvAiDY,0,A baby cries and a woman vocalizes briefly
48116,NUdxs63K2vc,190,A baby cries and a young child speaks in the background
100469,yBuR2TXFf_s,80,A baby cries and an animal whines as music plays in the background
56683,TEEVDMNF-oo,30,A baby cries and an old woman talks
59436,V7wxEH10pXI,16,A baby cries and another small child in the distance speaks briefly
19185,71f8YpOfee0,10,A baby cries and babbles
15985,5Yo00g8ugss,30,A baby cries and babbles
38538,HJefzDdfP7Q,30,A baby cries and children talk
46408,MPvWA6Dyx7w,27,"A baby cries and coughs, and then a man coughs and speaks"
41798,JPSJDg6r19Y,20,"A baby cries and coughs, then cries again"
38850,HWBGdHuyc8w,30,A baby cries and cries as a voice from a TV is in the background
66466,ZzDeNvSz2Y4,30,A baby cries and cries followed by a man talking
97084,vcMu9ScbzBA,100,A baby cries and cries until it is sobbing
33700,EN50BTjjnrs,8,A baby cries and finally lets out a long cry
99986,xoIJFqxONr0,20,A baby cries and fusses
100408,y8ZoKo0qy0c,25,A baby cries and fusses
99975,xnhjGj7rPvs,18,A baby cries and fusses and clothes rustle
20021,7QeptteeA94,320,A baby cries and fusses over a faint engine sputtering
12621,46DhzA9MsEg,70,A baby cries and fusses over tapping and clicking
19963,7P1CqhBq6cg,30,"A baby cries and fusses, and a dog barks"
18616,6lMQHr_RUOY,80,A baby cries and laughs
100097,xtoXPgkA1yE,50,A baby cries and laughs as people speak
7831,28liZ3kli0s,22,A baby cries and multiple adults talk
58504,UTgxSRPheqw,0,A baby cries and music plays in the background
91122,r1JW6XsACtg,130,A baby cries and people laugh and a woman talks
73400,dxV3qZDT3-U,140,A baby cries and people speak
18464,6ggHyHTn5b0,9,A baby cries and people speak
85952,n67Nl29gqKk,90,A baby cries and people speak
71430,cYGt1nCIyGw,30,A baby cries and people speak
72928,dah6YNw3Tsw,30,A baby cries and people speak in the background
100031,xqXtYjg_OdY,50,A baby cries and screams loudly
17869,6Q--LUIIlk4,6,A baby cries and screams while two women speak
60169,VbagmK24etk,16,A baby cries and someone laughs
47781,NHs8LJTwrRU,13,A baby cries and someone speaks
100862,yWDTG35SFgA,10,A baby cries and someone talks attempting to calm them down
33632,EKdKKdMBBH0,400,A baby cries and something clicks
86840,nmX-oWvziew,210,A baby cries and then a woman speaks while pumping something with air
91090,r-h4e1AddsQ,50,A baby cries and then other people speak
58815,Uh_DWRi6hr4,80,A baby cries and then screams multiple times
51634,PlgMdnZrAgA,10,A baby cries and then stutter fake cries
31741,DJiVMeQQgxM,3,"A baby cries and tries to calm itself, a few bangs of doors and a woman talks"
44942,LS1BpvHTIeg,7,A baby cries and tries to say a few words as a woman softly chuckles
100766,yRTNaBHMcDk,30,A baby cries and whimpers
32538,DiGDeiWzYdc,30,A baby cries and whimpers as someone whispers
29916,CJmWtqGNzJc,80,A baby cries and whines
18093,6WtAwGpOrdo,10,A baby cries and whines
100197,xzQVB8VmGJk,24,"A baby cries angrily, a man speaks and a woman speaks"
100230,y00clhaAAx8,30,A baby cries as a grown man speaks quietly
56874,TMDtT6c532g,60,A baby cries as a man and a woman talks
23439,96c8vgRnmzo,80,A baby cries as a person speaks faintly in the distance
17315,69U6k7xCGbI,30,A baby cries as a woman speaks
18704,6nz2Q9N34NU,30,A baby cries as a woman talks
91146,r2FOVtt5zF4,30,A baby cries as a woman talks
66004,Ze5ptV7T-uU,30,A baby cries as a woman talks
100062,xs5F94XAHxo,22,A baby cries as a woman talks in a comforting soothing voice
7788,27tN8xBOHEA,17,A baby cries as adults speak
73293,drjG71o9QZ4,30,A baby cries as another person speaks softly
50736,PBlhdkTYWWU,30,A baby cries as if in distress
96041,unNFtr1dYuM,30,A baby cries as others speak
44326,L1dXSCUe7w4,20,A baby cries as people are talking
70432,bnmC33g20mA,30,A baby cries as people speak and laugh
87466,oFy8xSyii4M,9,A baby cries as people talk
66997,_MHcfnXOgZ4,28,A baby cries as people talk in the distance
66879,_GhUokwh9bw,30,A baby cries briefly and whimpers
84920,mOFJrPairrQ,30,A baby cries briefly three times
62882,XWWi3XvMC34,0,A baby cries continuously
57726,Tw_ACCJbuCY,0,A baby cries continuously
23923,9LHPX1D6Vus,9,A baby cries continuously
72078,d03ZdivCSKM,30,A baby cries continuously
86948,nsDs_IU1ccI,30,A baby cries fallowed by a man and then a woman talking
97767,w72jJBwu7ow,30,A baby cries followed by a gunshot and then a man speaks over a loudspeaker and people applaud
101919,zM08Epg0XoE,2,A baby cries followed by a man speaking then a loud burst and click
89251,pbO7OL-DFiw,70,A baby cries followed by a raspy voice talking
32924,DvtqwAsCpbo,120,A baby cries followed by a woman groaning and a small silence and more crying after that
7302,1vLdOuY93Mw,19,A baby cries followed by a woman speaking and a baby cries again
55910,ShPHFUKzkcw,27,A baby cries followed by several people laughing and talking
99965,xnOI-td2K1U,20,A baby cries frantically
23028,8uUDRMdnxEU,11,A baby cries frantically and loudly
62662,XNsRfiHl0S4,0,"A baby cries in the distance as a woman talks, and then a child speaks"
86287,nLUHhgamT4o,30,A baby cries incessantly with a burst of screaming
34631,EtSJ8UWJ32M,30,A baby cries increasing volume and frequency
91524,rKXnHPPV-Sc,60,A baby cries lightly
85873,n2JqR0WrAFA,30,A baby cries loudly
3698,0Tj0S7X9N_M,150,A baby cries loudly
51850,Pv7H4t9TVus,0,A baby cries loudly
78507,hfdWrvYgPww,11,A baby cries loudly
16238,5fKWiCTFZgk,30,A baby cries loudly
44588,LDCHOGG9jqo,10,A baby cries loudly
80646,jEhy3BudrGU,0,A baby cries loudly
59363,V4GhlDXZBj4,2,A baby cries loudly
64595,YhSB-jTGz3Y,19,A baby cries loudly
84877,mMBRJ9WshF0,30,A baby cries loudly and makes talking sounds
77386,gqzRsP0mwsc,140,A baby cries loudly as a woman grumbles
58211,UGUs8EfpwGY,30,A baby cries loudly in the distance
22098,8SLMXKOvgY4,7,A baby cries loudly incessantly
60927,W9FMMz6SlVM,0,A baby cries loudly multiple times nearby
66563,_2KRnyRFSAk,24,"A baby cries loudly multiple times, followed by a woman speaking, after which a baby cries again"
36601,G6wAGEOTWko,30,A baby cries loudly nearby
82563,kdbYiY9TuxE,0,"A baby cries loudly nearby, followed by a woman talking, after which the baby quiets down as paper crinkles"
61559,W_a4XTwzcmg,15,A baby cries loudly numerous times nearby
55137,S9pjKmAra74,80,A baby cries loudly several times
82849,kpoDBzcWeSU,30,"A baby cries loudly several times nearby, after which a child talks nearby"
83682,lTDyOycL5M8,20,A baby cries loudly while an animal howls
92171,roBFlBq51y8,14,A baby cries loudly while people talk
87755,oUeQhZHjhac,0,A baby cries loudly while some people talk
89902,q4ZtWC2GITI,3,A baby cries loudly while some women talks
74772,ezJ53v1hVqQ,20,A baby cries loudly while two woman talks
100398,y8GaaF7mhRw,8,"A baby cries loudly, and then a person talks quietly in the distance"
73204,dnyjhIfzBEI,30,A baby cries nearby
35373,FMzsVBOOMvg,0,A baby cries nearby
56906,TNtO8RPd3iE,30,"A baby cries nearby and then stops, after which it starts to cry again"
37875,Guy09VEZU1o,10,"A baby cries nearby as women talk in the background, and then a woman talks in the foreground as the baby continues to cry"
44404,L4u9LOjcXoE,0,A baby cries nearby loudly several times
76133,fznMs3L_nmU,0,A baby cries nearby loudly several times as people talk quietly in the distance
85431,mkTMLeK14h4,120,A baby cries nearby multiple times
56532,T6ikDoOQYfQ,0,A baby cries nearby several times loudly
65320,ZCPUn_1sr2o,24,A baby cries nearby several times loudly
82937,kubz8ovpTMU,30,"A baby cries nearby, and then cries louder"
80529,j9VTNAgSZWk,21,"A baby cries nearby, followed by a person talking"
40649,IeS5qVMohVM,30,A baby cries out
18830,6roCpod0jw8,20,A baby cries out and the cry turns into a gurgle
59532,VC1CmoDwbtM,30,A baby cries over and over and a lady voice mummers at the baby
83086,l0drdxSOlCM,20,A baby cries quickly and then slows down a moment
90799,qlxpE1Iqkhw,5,A baby cries repetitively
26960,AoIQX-AJT20,1,A baby cries several times
55551,SRPrQ6W_CgM,30,"A baby cries several times, and then a woman laughs"
19442,78yrwc9y1ik,10,A baby cries sharply then coughs and begins crying again
26803,AjsOw7frSvA,0,A baby cries shortly after a woman speaks
21633,8DGFEBIJhxA,29,A baby cries slightly and a man makes barking noises
93928,tABG9n1TgS8,30,"A baby cries softly and adults giggle, laugh and talk until the baby quiets"
19926,7NYoD9qNopQ,30,A baby cries softly and the cry grows louder
76456,gDcLFwweoBk,30,A baby cries softly as people communicate from a distance followed by a baby crying louder
99001,x272E6sREUg,0,A baby cries softly gasping for air
41571,JFdHqy86JZk,70,"A baby cries softly, then a man talks softly as the baby continues to sob"
87388,oCMds_2C13s,6,A baby cries the whole time as a boy talks
83105,l1jR6VSu5WY,30,A baby cries then a woman and man speak
39246,HkyIJ52qIRU,20,A baby cries then coughs a few times thereafter
72162,d3dW8CgLE3o,30,A baby cries then someone whimpers followed by a woman and a man laughing
98046,wK8PTwRTCzs,30,A baby cries then stops
55005,S4iA9iEu8fg,4,A baby cries very loudly multiple times nearby
63,-0Zb56jXKGI,30,A baby cries while a man and two women speak
74669,eu-H6zjN7sE,70,A baby cries while a man is talking
100210,y-8h7ozmWSA,0,A baby cries while a man speaks
79951,iiZwtUJQEf8,420,A baby cries while a woman and a man talk
37517,GfN04SaiTE8,10,A baby cries while a woman imitates it
91164,r3EmjQAV4Iw,30,A baby cries while a woman speaks along with several taps on a surface
61977,Wstre2qOk2o,160,A baby cries while a woman speaks and music begins to play
30536,CeRmdEmqV68,19,A baby cries while a woman talks
40711,Iguc_tZCwjQ,50,A baby cries while a woman whispers and talks
17303,69CZJox8q9c,20,A baby cries while adults speak
100763,yR8okplTVXQ,30,A baby cries while it gets closer and a sudden object dropping
79026,i2HFRbyLRuI,8,A baby cries while people speak
90262,qLERE37f0JQ,0,A baby cries while people talks
95713,uXWaC53QTuk,30,A baby cries while someone on TV screams
40067,IIaqHCtUW5A,19,A baby cries while someone talks far away
93391,sjYlaXX_HnM,0,A baby cries while two men and a kid talk
38720,HQhmJF417n8,70,A baby cries with a person speaking on the television briefly
100320,y4phvI46L34,10,A baby cries with an older child singling
97004,vZMN4vXIIPc,17,A baby cries with faint sounds of people talking
38899,HYRcMxRjo30,30,A baby cries with music faintly in the distance
17475,6Df6I_k0xUw,10,A baby cries with other people speaking in the distance
101167,yl1jjhx7588,0,A baby cries with some light rattling
101424,yyWWpdXH4hs,30,A baby cries with some rustling
92422,s08AVdXIgwA,0,A baby cries with talking and laughter in the background
101664,z8ytrICcZ9E,0,"A baby cries, a man talks and a child talks and sobs"
12613,45wAIX6_eCo,100,"A baby cries, a woman speaks"
58677,UayJOrBENjM,230,"A baby cries, a woman speaks and a child speaks"
13301,4PYpHAr_6mM,30,"A baby cries, a woman speaks and laughs, a bang occurs, and an adult male speaks"
7886,2A7YfsS8Bhk,24,"A baby cries, a woman speaks to it, an audience laughs"
21168,7zWjLi0yhyc,5,"A baby cries, and adult male speaks, and an adult female speaks in the background"
8219,2IYt8ZVZoQ8,20,"A baby cries, and an adult male and female speak"
74372,eft4RfGoQWE,0,"A baby cries, and then a helicopter flies closely by, after which a baby cries again"
27529,B68yvAz1PEA,29,"A baby cries, stops for three seconds and starts crying again"
65807,ZWv1g-qd6q8,30,"A baby cries, while two women react to a screech and then laugh"
22238,8WtFMfpckrA,10,A baby crying after hearing a noise
43043,KCO8lQDHBJg,30,A baby crying and a lady talking
72938,dbcJ-m6IYMU,30,A baby crying and a man making silly noises
34143,EcDQzSQ-d_I,30,A baby crying and a man speaking
17488,6E3ye6qWoAE,40,A baby crying and a man speaking
18423,6feHO-MMaKA,0,A baby crying and a man talking in the background
20832,7obYklU0KQM,30,A baby crying and a person speaking
14891,54TUIAhPjM0,30,A baby crying and a recorded voice singing
20774,7mah_ggL4us,30,A baby crying and a woman softly talking
97819,w8z86IXw7eA,0,A baby crying and a woman speaking
101507,z0uObX2Gkdw,40,A baby crying and a woman speaking
1827,#NAME?,23,A baby crying and a woman speaking
47305,Mz5hfFG1SN8,70,A baby crying and a woman speaking
27330,B-JwPz1wcqM,30,A baby crying and a woman speaking with people talking in the distance
37598,GilJAJTcmo8,13,A baby crying and a woman talking followed by the crying stopping and a man talking
6174,1THljuwMb94,11,A baby crying and another kid speaking
23269,912ulwC5d6M,25,A baby crying and breathing
81544,jtMmwfxDEKA,30,A baby crying and cooing
78751,hrP48zzdJMo,20,A baby crying and cooing
70617,bvkyYw3ShMc,10,A baby crying and laughing
34304,Ei1L5HBldWY,2,A baby crying and making loud sounds
20912,7r1IVTUFHYU,30,A baby crying and man talking followed by wood banging and a piano playing in the background
3050,0Ct4x90smlM,13,A baby crying and people chattering
69746,bImnLrfmD7s,7,A baby crying and people speaking
5910,1MMh5GpXplE,30,A baby crying and person talking
12206,3v7q1xTR2LQ,30,A baby crying and screaming
87618,oN3v_AZaT0M,0,A baby crying and screaming
91676,rS5NkSqRGZA,0,A baby crying and sobbing
23834,9IX16s12uiU,20,A baby crying and sobbing
3026,0CGgu6doSis,40,A baby crying and some woman speaking distantly
2807,06HoMht81hE,0,A baby crying and sounding in distress
24812,9pO5C-uMvko,100,A baby crying and whimpering
95602,uRap9q0MUyY,25,A baby crying and whimpering
81283,jhnDkvyOIPg,30,A baby crying and whimpering
1617,#NAME?,30,A baby crying and whimpering
42341,Jk1y6WRZD8k,30,A baby crying and whimpering.
37004,GM99WsWHIfs,30,A baby crying and whining
18418,6fXP1WG6QSg,40,A baby crying and whining
86775,niEkcwBWYAQ,30,A baby crying as a group of people talk and wood clangs
13521,4VkDJVQ0GfA,30,A baby crying as an adult mimics his cry
12911,4EK_G7Kn8yU,30,A baby crying as cars race by
15164,5C7cpZeSXV8,11,"A baby crying constantly, then a splash and a man speaks"
94904,twOUIlaeVm8,30,A baby crying continuously
21332,83jzUppUHDU,30,A baby crying continuously
11678,3hv_6O948gs,0,A baby crying continuously
102237,zcaBSTlC9As,20,A baby crying faintly
17344,6ACAK_V33bs,30,A baby crying followed by a click
10563,3FJN4BZSO78,17,A baby crying followed by a musical note
75288,fLldS_JpnaE,30,A baby crying followed by a voice wailing
1611,#NAME?,170,A baby crying followed by a woman comforting it
32038,DSv2fzil2yM,30,A baby crying followed by a woman talking and a person laughing
7606,22ZIWghCrDk,13,A baby crying followed by adult laughter
85801,n-MHUpBkiAw,13,A baby crying followed by loud humming and rustling
6338,1XtA6tSgFPQ,18,A baby crying like a song
16224,5er9MoTAogc,10,A baby crying loudly
101716,zBe_CRK3xRQ,80,A baby crying loudly
15507,5LFtcZzYXe4,8,A baby crying loudly
99325,xHqCygsT_lA,15,A baby crying loudly and people talking
80637,jEMezlyi6cw,30,A baby crying loudly and whimpering
100722,yOpYiaqPwwQ,4,A baby crying repeatedly
3725,0UGnOcN0Ln8,30,A baby crying repeatedly
55464,SNrwSjGGtUI,30,A baby crying repeatedly
76924,gY6B-YGFKXM,70,A baby crying repetitively
54018,RPll9VpPWmo,30,A baby crying then a woman speaking
19162,717ubaGGUnY,30,A baby crying then sobbing
60284,Vgs_XjEqKl0,20,A baby crying while a woman talks
3919,0ZZ70yznpCE,10,A baby crying while an adult male speaks
46436,MQxlcQr7j1A,10,A baby crying while the woman hushes him
73108,djBGc_ijwH0,140,A baby crying with a humming sound
102180,z_aPBS25jOo,30,A baby crying with a man speaking
43767,Kf1p_jk43Es,10,A baby crying with a person laughing and talking
57057,TU3rbHMaE3I,30,A baby crying with a person making noises
96848,vRWOChjz9k4,70,A baby crying with a person yelling
101860,zI_OwLUiR7Y,10,A baby crying with a woman and man speaking
21868,8Kv0Oju_o84,60,A baby crying with a woman laughing and talking
42744,K03RvENE2ZQ,30,A baby crying with a woman speaking in the foreground
21823,8JeMHUAwC5U,30,A baby crying with a woman talking and laughing
47143,MrVFBWzlI50,30,A baby crying with adults speaking near and far
100113,xuyWb2meSnA,30,A baby crying with people speaking
18715,6oB4wa1DPXE,14,A baby crying with people speaking
72899,d_V-wm03NhU,50,A baby crying with people speaking
99064,x4vzp0wSJqI,4,A baby crying with people talking
49206,OCCOTFmeb8M,30,A baby crying with some rustling
88078,ojFZCfUaeoM,24,A baby crying with someone talking
5258,15yTC6KGCVw,30,A baby crying with talking in the back ground
27442,B2rNzjbgbDg,30,"A baby crying, a lady laughing and talking"
13224,4N2ku7-K0Lo,10,"A baby crying, a man speaks"
1660,#NAME?,30,"A baby crying, a woman speaking"
15474,5K_c4LG7CEE,30,"A baby crying, people speak"
63203,XjKVPp60dHA,10,"A baby crying, screaming and people talking"
18120,6XliYqpTSMc,20,A baby does a deep belly laugh and a woman giggles and speaks
25040,9wTF9qo5PvI,30,A baby duck is making sounds
102377,zirMyE9UKjw,30,"A baby fusses and fidgets, a woman speaks, and a man repeatedly imitates cartoon noise"
10776,3L0uZ51yNmw,30,"A baby gasps and breathes, water sloshes, and a man speaks"
86370,nPw0iXhegmw,70,A baby gasps and laughs followed by a woman saying something softly and more laughs and giggles while something whooshes
298,-6edE-cOufc,0,A baby giggles a woman speaks baby giggles again
83343,lCnE7ihkIY0,0,A baby giggles and laughs as a man burps loudly and an older woman speaks and laughs softly
11829,3licNUwwB1Y,30,A baby giggling
52536,QOoxd9EiiSI,30,A baby giggling and laughing
15559,5MZYUwiSfVg,70,A baby giggling hysterically
69970,bSw2NLHd49k,10,A baby grunt snores while something rattles in the background softly
57831,U0Cfu2akUB8,50,A baby gurgling then coughing
8809,2XRKxHfv1kQ,30,A baby hiccups and an adult and the baby start laughing
25079,9xls_sIJ_s8,30,A baby infant is crying
27815,BEq_83h6v0I,120,A baby is being played with and is laughing
8030,2DeWsERzaSY,50,A baby is belling laughing
20838,7olKwGplgfg,30,A baby is continuously crying in high frequency
18158,6Yj4MU-4plI,30,"A baby is cooing and laughing, an adult female laughs and speaks, and roaring is present in the background"
4452,0lq5Oey7ChY,30,A baby is crying
13907,4eNwTBQ6gsI,20,A baby is crying
100196,xzQ9Q4UKOjY,90,A baby is crying
6019,1P9x_rCAlvc,160,A baby is crying
7911,2AxAYXhrLGg,30,A baby is crying
13765,4abVXlYem2g,40,A baby is crying
16498,5mRxDOe7_J4,13,A baby is crying
16595,5pXbK7b5M50,0,A baby is crying
3641,0S3kz0Excbs,0,A baby is crying
13662,4ZDm-kEKg3Y,30,A baby is crying
12210,3vJBnPSyc1M,9,A baby is crying
7736,269Bvs-xdgY,0,A baby is crying
11975,3pG8P6m0E4I,30,A baby is crying
9855,2xuhfIVuOq0,5,A baby is crying
13386,4SCTfaYmwnc,0,A baby is crying
22429,8bxx5e-Kw2E,30,A baby is crying
22420,8b_iEf7UFWw,0,A baby is crying
3387,0LWim2o7Afo,30,A baby is crying
7053,1pJrv7RT3dw,30,A baby is crying
2852,07m3-FOJQ-Q,10,A baby is crying
3596,0QzC8ORgZlM,30,A baby is crying along with another baby
21479,88AWuXFZkTU,17,A baby is crying and a cat meows
13944,4fX-_LrvHF8,30,A baby is crying and a couple voices are talking over the baby
20616,7hVPgGM_lxQ,30,A baby is crying and a man and woman laugh and talk
69296,axnd3_MSHq0,50,A baby is crying and a man says something followed by another man saying something
10399,3AnX4S2U_z8,30,A baby is crying and a man speaks
11179,3VUEqSpFZu0,30,A baby is crying and a person speaks
20567,7fgn_vBPkC0,20,A baby is crying and a woman is speaking
5945,1N7h7fTEmQs,7,A baby is crying and a woman is talking
8839,2YRktz9U1EQ,30,A baby is crying and a woman speaks
23401,95IwZrlK2GU,30,A baby is crying and a woman speaks
2979,0BSZPjN2XzM,30,A baby is crying and an adult female is speaking
8715,2UyixlJ3lFM,0,A baby is crying and an adult female is speaking
4045,0bKyicbt3eE,20,A baby is crying and an adult female speaks
3726,0UHOH52BVJs,12,A baby is crying and an adult female speaks
9667,2tSLXPbJA7k,500,A baby is crying and birds are chirping
10745,3K92wE7AJPM,20,A baby is crying and people are talking
6458,1_hkRJDk9gc,30,A baby is crying and people are talking and laughing
40194,INVr3vBNvoI,10,A baby is crying and screaming
22762,8lrR_GpO3Zo,20,A baby is crying and someone hammers in the background
12546,441swIz0wuM,20,"A baby is crying and spits up and chokes, and an adult female speaks and laughs"
5014,1-9KSslytrk,30,A baby is crying and talking
83637,lQPxJ3M0Ves,60,A baby is crying and then a man and woman are laughing.
20681,7jk_2ZFlEG8,30,A baby is crying and two women are having a conversation
12568,44Z8qGtzwEE,20,A baby is crying and whining
13495,4V3TFiHFqDc,120,A baby is crying as people are talking
19801,7J4YOTk3YtU,50,A baby is crying gently then it gets louder
18162,6Yv8NkFdGqs,18,A baby is crying in distress
21554,8AkmHUuIUZo,390,A baby is crying in distress in short bursts rapidly
12465,41JNauxo3N8,7,A baby is crying loudly
24058,9Q8i01Llahc,30,A baby is crying loudly
6892,1kNmOm3-byU,10,A baby is crying loudly
13836,4cMIkyP0R78,0,"A baby is crying loudly, and an adult female speaks"
21340,847vzyiJDLA,30,A baby is crying out and a woman is cooing
17467,6DTs2GTeo1c,20,A baby is crying repeatedly
24923,9tC9cVtEuQU,400,A baby is crying shortly followed by a female talking
10495,3DP_zIFMURw,10,A baby is crying somewhat gently
18297,6cAoOtvgS7I,60,A baby is crying stops crying
